tanggal,stasiun,curah_hujan,suhu,kelembapan,kecepatan_angin,arah_angin,gelombang_signifikan,arus_laut,arah_arus_laut,latitude,longitude
2024-01-01,Stasiun Meteorologi Juanda,3.8,29.9,83.0,1.95339,99,0.0,0.71544,78,-7.37235119,112.7816993
2024-01-01,Stasiun Meteorologi Perak 1,0.6,29.9,78.0,1.37082,89,0.0,0.55643,79,-7.223150593,112.7240614
2024-01-01,Stasiun Meteorologi Maritim Tanjung Perak,0.2,30.2,77.0,1.40119,87,0.0,0.55643,79,-7.204320905,112.7351022
2024-01-02,Stasiun Meteorologi Juanda,21.2,30.6,78.0,2.41817,83,0.0,3.46412,160,-7.37235119,112.7816993
2024-01-02,Stasiun Meteorologi Perak 1,0.0,30.6,74.0,1.87734,85,0.0,0.85942,126,-7.223150593,112.7240614
2024-01-02,Stasiun Meteorologi Maritim Tanjung Perak,0.0,30.9,72.0,1.93647,84,0.0,0.85942,126,-7.204320905,112.7351022
2024-01-03,Stasiun Meteorologi Juanda,0.0,27.8,90.0,0.99962,1,0.0,1.64867,178,-7.37235119,112.7816993
2024-01-03,Stasiun Meteorologi Perak 1,0.1,27.5,89.0,1.96805,5,0.0,0.36216,106,-7.223150593,112.7240614
2024-01-03,Stasiun Meteorologi Maritim Tanjung Perak,0.0,,87.0,2.17169,5,0.0,0.36216,106,-7.204320905,112.7351022
2024-01-04,Stasiun Meteorologi Juanda,1.5,29.0,82.0,2.05258,162,0.0,1.01576,110,-7.37235119,112.7816993
2024-01-04,Stasiun Meteorologi Perak 1,4.5,29.2,78.0,1.85706,162,0.0,0.949,90,-7.223150593,112.7240614
2024-01-04,Stasiun Meteorologi Maritim Tanjung Perak,6.7,29.5,77.0,1.81608,161,0.0,0.949,90,-7.204320905,112.7351022
2024-01-05,Stasiun Meteorologi Juanda,2.2,28.8,83.0,2.47781,134,0.0,1.25,180,-7.37235119,112.7816993
2024-01-05,Stasiun Meteorologi Perak 1,0.0,29.1,78.0,0.69195,154,0.0,0.41414,104,-7.223150593,112.7240614
2024-01-05,Stasiun Meteorologi Maritim Tanjung Perak,0.1,29.8,75.0,0.6276,161,0.0,0.41414,104,-7.204320905,112.7351022
2024-01-06,Stasiun Meteorologi Juanda,0.0,28.0,87.0,3.04235,119,0.0,3.85664,177,-7.37235119,112.7816993
2024-01-06,Stasiun Meteorologi Perak 1,0.0,28.8,80.0,2.8229,113,0.0,0.76115,122,-7.223150593,112.7240614
2024-01-06,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.2,79.0,2.95607,111,0.0,0.76115,122,-7.204320905,112.7351022
2024-01-07,Stasiun Meteorologi Juanda,2.1,27.7,88.0,1.19816,270,0.0,1.89163,128,-7.37235119,112.7816993
2024-01-07,Stasiun Meteorologi Perak 1,1.2,27.7,85.0,1.69121,264,0.0,1.01156,99,-7.223150593,112.7240614
2024-01-07,Stasiun Meteorologi Maritim Tanjung Perak,0.1,28.2,82.0,1.75988,261,0.0,1.01156,99,-7.204320905,112.7351022
2024-01-08,Stasiun Meteorologi Juanda,0.1,27.0,91.0,2.83282,289,0.0,2.18132,148,-7.37235119,112.7816993
2024-01-08,Stasiun Meteorologi Perak 1,0.1,28.5,81.0,2.84697,284,0.0,1.25104,92,-7.223150593,112.7240614
2024-01-08,Stasiun Meteorologi Maritim Tanjung Perak,0.1,29.0,79.0,2.90574,283,0.0,1.25104,92,-7.204320905,112.7351022
2024-01-09,Stasiun Meteorologi Juanda,78.1,27.7,89.0,4.06902,283,0.0,1.76386,55,-7.37235119,112.7816993
2024-01-09,Stasiun Meteorologi Perak 1,0.0,28.6,81.0,4.01461,283,0.0,1.09277,74,-7.223150593,112.7240614
2024-01-09,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.5,78.0,4.10593,284,0.0,1.09277,74,-7.204320905,112.7351022
2024-01-10,Stasiun Meteorologi Juanda,26.5,28.7,86.0,0.17172,348,0.0,2.37812,98,-7.37235119,112.7816993
2024-01-10,Stasiun Meteorologi Perak 1,19.8,29.4,77.0,1.39422,329,0.0,1.75073,92,-7.223150593,112.7240614
2024-01-10,Stasiun Meteorologi Maritim Tanjung Perak,14.8,30.1,74.0,1.46309,331,0.0,1.75073,92,-7.204320905,112.7351022
2024-01-11,Stasiun Meteorologi Juanda,3.3,28.5,83.0,3.22064,296,0.0,2.18094,74,-7.37235119,112.7816993
2024-01-11,Stasiun Meteorologi Perak 1,0.0,29.8,75.0,4.00164,287,0.0,1.65537,87,-7.223150593,112.7240614
2024-01-11,Stasiun Meteorologi Maritim Tanjung Perak,0.0,30.3,73.0,4.14731,286,0.0,1.65537,87,-7.204320905,112.7351022
2024-01-12,Stasiun Meteorologi Juanda,5.1,30.1,71.0,1.08408,306,0.0,3.02493,146,-7.37235119,112.7816993
2024-01-12,Stasiun Meteorologi Perak 1,0.0,30.6,69.0,2.79459,308,0.0,1.25262,114,-7.223150593,112.7240614
2024-01-12,Stasiun Meteorologi Maritim Tanjung Perak,0.0,30.8,69.0,2.99151,309,0.0,1.25262,114,-7.204320905,112.7351022
2024-01-13,Stasiun Meteorologi Juanda,0.0,30.6,70.0,1.79465,135,0.0,1.60231,92,-7.37235119,112.7816993
2024-01-13,Stasiun Meteorologi Perak 1,0.2,31.1,66.0,0.49436,18,0.0,1.25088,92,-7.223150593,112.7240614
2024-01-13,Stasiun Meteorologi Maritim Tanjung Perak,3.0,31.2,67.0,0.55502,11,0.0,1.25088,92,-7.204320905,112.7351022
2024-01-14,Stasiun Meteorologi Juanda,0.0,30.3,71.0,0.80604,329,0.0,2.12295,172,-7.37235119,112.7816993
2024-01-14,Stasiun Meteorologi Perak 1,0.0,30.9,67.0,2.29826,321,0.0,0.44723,153,-7.223150593,112.7240614
2024-01-14,Stasiun Meteorologi Maritim Tanjung Perak,0.1,31.3,65.0,2.42526,319,0.0,0.44723,153,-7.204320905,112.7351022
2024-01-15,Stasiun Meteorologi Juanda,,27.7,85.0,4.6422,287,0.0,3.62109,20,-7.37235119,112.7816993
2024-01-15,Stasiun Meteorologi Perak 1,0.0,28.9,78.0,4.80202,289,0.0,1.47769,66,-7.223150593,112.7240614
2024-01-15,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.2,77.0,4.91128,289,0.0,1.47769,66,-7.204320905,112.7351022
2024-01-16,Stasiun Meteorologi Juanda,18.3,28.9,81.0,1.41408,150,0.0,2.30074,48,-7.37235119,112.7816993
2024-01-16,Stasiun Meteorologi Perak 1,0.1,29.3,78.0,0.75453,239,0.0,1.72125,82,-7.223150593,112.7240614
2024-01-16,Stasiun Meteorologi Maritim Tanjung Perak,0.1,29.5,77.0,0.8061,245,0.0,1.72125,82,-7.204320905,112.7351022
2024-01-17,Stasiun Meteorologi Juanda,17.2,26.4,91.0,3.97287,252,0.0,2.18032,127,-7.37235119,112.7816993
2024-01-17,Stasiun Meteorologi Perak 1,75.4,27.5,85.0,4.14465,247,0.0,1.24882,106,-7.223150593,112.7240614
2024-01-17,Stasiun Meteorologi Maritim Tanjung Perak,30.4,28.1,84.0,4.06025,250,0.0,1.24882,106,-7.204320905,112.7351022
2024-01-18,Stasiun Meteorologi Juanda,23.6,27.2,88.0,1.51359,154,0.0,1.953,90,-7.37235119,112.7816993
2024-01-18,Stasiun Meteorologi Perak 1,1.4,27.4,85.0,1.35154,197,0.0,1.4631,98,-7.223150593,112.7240614
2024-01-18,Stasiun Meteorologi Maritim Tanjung Perak,13.0,28.2,82.0,1.52463,201,0.0,1.4631,98,-7.204320905,112.7351022
2024-01-19,Stasiun Meteorologi Juanda,0.0,26.6,88.0,0.82734,148,0.0,1.88919,143,-7.37235119,112.7816993
2024-01-19,Stasiun Meteorologi Perak 1,21.9,27.7,81.0,0.67765,307,0.0,1.20108,107,-7.223150593,112.7240614
2024-01-19,Stasiun Meteorologi Maritim Tanjung Perak,29.7,28.3,78.0,0.91643,305,0.0,1.20108,107,-7.204320905,112.7351022
2024-01-20,Stasiun Meteorologi Juanda,36.3,29.3,75.0,4.16565,186,0.0,0.58536,110,-7.37235119,112.7816993
2024-01-20,Stasiun Meteorologi Perak 1,0.4,29.4,72.0,4.91878,214,0.0,1.0013,87,-7.223150593,112.7240614
2024-01-20,Stasiun Meteorologi Maritim Tanjung Perak,0.1,29.7,71.0,5.14931,217,0.0,1.0013,87,-7.204320905,112.7351022
2024-01-21,Stasiun Meteorologi Juanda,0.1,29.4,74.0,4.73588,260,0.0,3.08825,29,-7.37235119,112.7816993
2024-01-21,Stasiun Meteorologi Perak 1,0.0,28.8,77.0,6.31787,276,0.0,2.07451,75,-7.223150593,112.7240614
2024-01-21,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.4,74.0,6.6253,279,0.0,2.07451,75,-7.204320905,112.7351022
2024-01-22,Stasiun Meteorologi Juanda,0.0,28.6,78.0,5.69283,293,0.0,3.54999,58,-7.37235119,112.7816993
2024-01-22,Stasiun Meteorologi Perak 1,11.7,28.7,79.0,5.96646,294,0.0,2.5505,90,-7.223150593,112.7240614
2024-01-22,Stasiun Meteorologi Maritim Tanjung Perak,7.0,29.8,73.0,6.23667,294,0.0,2.5505,90,-7.204320905,112.7351022
2024-01-23,Stasiun Meteorologi Juanda,1.5,29.2,77.0,6.16071,290,0.0,4.07583,65,-7.37235119,112.7816993
2024-01-23,Stasiun Meteorologi Perak 1,18.4,29.6,75.0,6.98404,295,0.0,3.90778,87,-7.223150593,112.7240614
2024-01-23,Stasiun Meteorologi Maritim Tanjung Perak,9.2,30.0,73.0,7.26817,295,0.0,3.90778,87,-7.204320905,112.7351022
2024-01-24,Stasiun Meteorologi Juanda,,27.8,82.0,6.33749,291,0.0,5.00708,40,-7.37235119,112.7816993
2024-01-24,Stasiun Meteorologi Perak 1,0.0,28.8,75.0,5.9631,289,0.0,2.94982,79,-7.223150593,112.7240614
2024-01-24,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.2,74.0,6.19001,289,0.0,2.94982,79,-7.204320905,112.7351022
2024-01-25,Stasiun Meteorologi Juanda,5.5,28.0,81.0,5.41961,288,0.0,2.31637,76,-7.37235119,112.7816993
2024-01-25,Stasiun Meteorologi Perak 1,0.0,28.9,76.0,5.65068,289,0.0,2.00064,91,-7.223150593,112.7240614
2024-01-25,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.6,73.0,5.84388,289,0.0,2.00064,91,-7.204320905,112.7351022
2024-01-26,Stasiun Meteorologi Juanda,4.3,28.3,81.0,5.71122,299,0.0,4.06971,37,-7.37235119,112.7816993
