tanggal,stasiun,curah_hujan,suhu,kelembapan,kecepatan_angin,arah_angin,gelombang_signifikan,arus_laut,arah_arus_laut,latitude,longitude
2024-01-01,Stasiun Meteorologi Juanda,3.8,29.9,83.0,1.95339,99,0.0,0.71544,78,-7.37235119,112.7816993
2024-01-01,Stasiun Meteorologi Perak 1,0.6,29.9,78.0,1.37082,89,0.0,0.55643,79,-7.223150593,112.7240614
2024-01-01,Stasiun Meteorologi Maritim Tanjung Perak,0.2,30.2,77.0,1.40119,87,0.0,0.55643,79,-7.204320905,112.7351022
2024-01-01,Stasiun Meteorologi Trunojoyo,0.0,27.3,91.0,5.0,98,0.00519,2.0,123,-7.03976,113.914
2024-01-01,Stasiun Meteorologi Tuban,0.0,30.1,76.0,2.0,101,0.0365,1.0,45,-6.8229,111.99177
2024-01-01,Stasiun Meteorologi Banyuwangi,0.0,29.1,78.0,2.0,192,0.09634,4.0,184,-8.214848016,114.3553195
2024-01-01,Stasiun Geofisika Pasuruan,1.8,25.2,84.0,1.0,132,0.00026,1.0,92,-7.639341409,112.6882624
2024-01-01,Stasiun Meteorologi Dhoho,,,,1.0,268,0.0,5.0,83,-7.75487,111.9469
2024-01-01,Stasiun Klimatologi Jawa Timur,8.6,27.1,78.0,1.0,181,0.0,1.0,92,-7.9008,112.5979
2024-01-01,Stasiun Geofisika Malang,0.1,29.9,73.0,2.0,136,0.0,3.0,72,-8.15,112.45
2024-01-01,Stasiun Geofisika Nganjuk,,25.8,86.0,1.0,276,0.0,2.0,246,-7.73486,111.76682
2024-01-01,Stasiun Meteorologi Sangkapura,0.0,29.2,83.0,1.0,150,0.04406,8.0,102,-5.8511,112.6578
2024-01-02,Stasiun Meteorologi Juanda,21.2,30.6,78.0,2.41817,83,0.0,3.46412,160,-7.37235119,112.7816993
2024-01-02,Stasiun Meteorologi Perak 1,0.0,30.6,74.0,1.87734,85,0.0,0.85942,126,-7.223150593,112.7240614
2024-01-02,Stasiun Meteorologi Maritim Tanjung Perak,0.0,30.9,72.0,1.93647,84,0.0,0.85942,126,-7.204320905,112.7351022
2024-01-02,Stasiun Meteorologi Trunojoyo,15.2,30.1,81.0,4.0,72,0.00089,2.0,120,-7.03976,113.914
2024-01-02,Stasiun Meteorologi Tuban,0.7,30.2,77.0,2.0,97,0.00283,3.0,340,-6.8229,111.99177
2024-01-02,Stasiun Meteorologi Banyuwangi,0.1,30.3,72.0,1.0,171,0.07943,5.0,166,-8.214848016,114.3553195
2024-01-02,Stasiun Geofisika Pasuruan,9.5,24.5,88.0,1.0,97,0.00037,2.0,112,-7.639341409,112.6882624
2024-01-02,Stasiun Meteorologi Dhoho,,,,1.0,239,0.0,7.0,77,-7.75487,111.9469
2024-01-02,Stasiun Klimatologi Jawa Timur,0.0,27.1,77.0,1.0,119,0.0,2.0,112,-7.9008,112.5979
2024-01-02,Stasiun Geofisika Malang,0.1,30.0,70.0,1.0,113,0.0,3.0,96,-8.15,112.45
2024-01-02,Stasiun Geofisika Nganjuk,,24.7,88.0,1.0,247,0.0,2.0,35,-7.73486,111.76682
2024-01-02,Stasiun Meteorologi Sangkapura,0.0,30.2,80.0,1.0,21,0.00781,5.0,99,-5.8511,112.6578
2024-01-03,Stasiun Meteorologi Juanda,0.0,27.8,90.0,0.99962,1,0.0,1.64867,178,-7.37235119,112.7816993
2024-01-03,Stasiun Meteorologi Perak 1,0.1,27.5,89.0,1.96805,5,0.0,0.36216,106,-7.223150593,112.7240614
2024-01-03,Stasiun Meteorologi Maritim Tanjung Perak,0.0,,87.0,2.17169,5,0.0,0.36216,106,-7.204320905,112.7351022
2024-01-03,Stasiun Meteorologi Trunojoyo,0.0,28.5,85.0,3.0,343,0.00271,2.0,130,-7.03976,113.914
2024-01-03,Stasiun Meteorologi Tuban,14.2,26.4,92.0,6.0,355,0.02745,1.0,50,-6.8229,111.99177
2024-01-03,Stasiun Meteorologi Banyuwangi,0.1,29.3,74.0,3.0,41,0.06788,5.0,151,-8.214848016,114.3553195
2024-01-03,Stasiun Geofisika Pasuruan,31.4,23.0,93.0,0.0,57,0.00033,1.0,135,-7.639341409,112.6882624
2024-01-03,Stasiun Meteorologi Dhoho,,,,2.0,355,0.0,9.0,92,-7.75487,111.9469
2024-01-03,Stasiun Klimatologi Jawa Timur,0.0,26.4,79.0,1.0,34,0.0,1.0,135,-7.9008,112.5979
2024-01-03,Stasiun Geofisika Malang,0.0,28.3,78.0,1.0,32,0.0,4.0,88,-8.15,112.45
2024-01-03,Stasiun Geofisika Nganjuk,19.0,23.5,88.0,3.0,355,0.0,5.0,107,-7.73486,111.76682
2024-01-03,Stasiun Meteorologi Sangkapura,1.2,27.8,87.0,7.0,322,0.08448,8.0,97,-5.8511,112.6578
2024-01-04,Stasiun Meteorologi Juanda,1.5,29.0,82.0,2.05258,162,0.0,1.01576,110,-7.37235119,112.7816993
2024-01-04,Stasiun Meteorologi Perak 1,4.5,29.2,78.0,1.85706,162,0.0,0.949,90,-7.223150593,112.7240614
2024-01-04,Stasiun Meteorologi Maritim Tanjung Perak,6.7,29.5,77.0,1.81608,161,0.0,0.949,90,-7.204320905,112.7351022
2024-01-04,Stasiun Meteorologi Trunojoyo,0.0,29.4,81.0,2.0,76,0.01797,1.0,119,-7.03976,113.914
2024-01-04,Stasiun Meteorologi Tuban,7.0,28.6,80.0,0.0,72,0.13485,4.0,340,-6.8229,111.99177
2024-01-04,Stasiun Meteorologi Banyuwangi,0.0,29.3,74.0,1.0,177,0.06262,3.0,206,-8.214848016,114.3553195
2024-01-04,Stasiun Geofisika Pasuruan,2.5,24.6,84.0,2.0,154,0.00018,1.0,125,-7.639341409,112.6882624
2024-01-04,Stasiun Meteorologi Dhoho,0.1,29.7,72.0,1.0,169,0.0,13.0,95,-7.75487,111.9469
2024-01-04,Stasiun Klimatologi Jawa Timur,,26.1,77.0,1.0,113,0.0,1.0,125,-7.9008,112.5979
2024-01-04,Stasiun Geofisika Malang,0.1,27.3,79.0,2.0,68,0.0,5.0,109,-8.15,112.45
2024-01-04,Stasiun Geofisika Nganjuk,18.0,24.0,85.0,0.0,169,0.0,3.0,131,-7.73486,111.76682
2024-01-04,Stasiun Meteorologi Sangkapura,1.2,28.1,86.0,2.0,204,0.07493,7.0,100,-5.8511,112.6578
2024-01-05,Stasiun Meteorologi Juanda,2.2,28.8,83.0,2.47781,134,0.0,1.25,180,-7.37235119,112.7816993
2024-01-05,Stasiun Meteorologi Perak 1,0.0,29.1,78.0,0.69195,154,0.0,0.41414,104,-7.223150593,112.7240614
2024-01-05,Stasiun Meteorologi Maritim Tanjung Perak,0.1,29.8,75.0,0.6276,161,0.0,0.41414,104,-7.204320905,112.7351022
2024-01-05,Stasiun Meteorologi Trunojoyo,0.0,28.9,83.0,1.0,211,0.00542,2.0,127,-7.03976,113.914
2024-01-05,Stasiun Meteorologi Tuban,0.1,28.5,78.0,2.0,197,0.04599,1.0,43,-6.8229,111.99177
2024-01-05,Stasiun Meteorologi Banyuwangi,0.1,27.8,81.0,2.0,210,0.0728,5.0,214,-8.214848016,114.3553195
2024-01-05,Stasiun Geofisika Pasuruan,0.9,,,3.0,149,0.00018,0.0,146,-7.639341409,112.6882624
2024-01-05,Stasiun Meteorologi Dhoho,54.5,29.0,74.0,1.0,175,0.0,18.0,94,-7.75487,111.9469
2024-01-05,Stasiun Klimatologi Jawa Timur,0.0,25.2,83.0,2.0,137,0.0,0.0,146,-7.9008,112.5979
2024-01-05,Stasiun Geofisika Malang,74.5,27.6,79.0,2.0,110,0.0,8.0,123,-8.15,112.45
2024-01-05,Stasiun Geofisika Nganjuk,66.0,23.2,87.0,0.0,192,0.0,4.0,133,-7.73486,111.76682
2024-01-05,Stasiun Meteorologi Sangkapura,8.5,28.4,85.0,3.0,193,0.17976,6.0,101,-5.8511,112.6578
2024-01-06,Stasiun Meteorologi Juanda,0.0,28.0,87.0,3.04235,119,0.0,3.85664,177,-7.37235119,112.7816993
2024-01-06,Stasiun Meteorologi Perak 1,0.0,28.8,80.0,2.8229,113,0.0,0.76115,122,-7.223150593,112.7240614
2024-01-06,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.2,79.0,2.95607,111,0.0,0.76115,122,-7.204320905,112.7351022
2024-01-06,Stasiun Meteorologi Trunojoyo,1.5,28.0,86.0,6.0,85,0.01332,2.0,136,-7.03976,113.914
2024-01-06,Stasiun Meteorologi Tuban,0.1,27.9,83.0,6.0,107,0.04995,2.0,336,-6.8229,111.99177
2024-01-06,Stasiun Meteorologi Banyuwangi,3.2,27.3,82.0,2.0,18,0.07953,3.0,176,-8.214848016,114.3553195
2024-01-06,Stasiun Geofisika Pasuruan,41.2,22.4,94.0,2.0,160,4e-05,1.0,212,-7.639341409,112.6882624
2024-01-06,Stasiun Meteorologi Dhoho,13.0,28.9,77.0,1.0,278,0.0,10.0,93,-7.75487,111.9469
2024-01-06,Stasiun Klimatologi Jawa Timur,7.8,25.1,84.0,1.0,198,0.0,1.0,212,-7.9008,112.5979
2024-01-06,Stasiun Geofisika Malang,21.3,27.0,85.0,1.0,39,0.0,4.0,96,-8.15,112.45
2024-01-06,Stasiun Geofisika Nganjuk,13.5,23.8,88.0,1.0,283,0.0,1.0,6,-7.73486,111.76682
2024-01-06,Stasiun Meteorologi Sangkapura,0.1,28.6,86.0,5.0,89,0.08805,3.0,109,-5.8511,112.6578
2024-01-07,Stasiun Meteorologi Juanda,2.1,27.7,88.0,1.19816,270,0.0,1.89163,128,-7.37235119,112.7816993
2024-01-07,Stasiun Meteorologi Perak 1,1.2,27.7,85.0,1.69121,264,0.0,1.01156,99,-7.223150593,112.7240614
2024-01-07,Stasiun Meteorologi Maritim Tanjung Perak,0.1,28.2,82.0,1.75988,261,0.0,1.01156,99,-7.204320905,112.7351022
2024-01-07,Stasiun Meteorologi Trunojoyo,5.3,26.8,91.0,4.0,206,0.00359,1.0,112,-7.03976,113.914
2024-01-07,Stasiun Meteorologi Tuban,11.3,27.0,90.0,1.0,97,0.01924,1.0,87,-6.8229,111.99177
2024-01-07,Stasiun Meteorologi Banyuwangi,0.6,28.3,75.0,2.0,218,0.07524,4.0,126,-8.214848016,114.3553195
2024-01-07,Stasiun Geofisika Pasuruan,53.0,23.3,89.0,0.0,227,0.0,1.0,135,-7.639341409,112.6882624
2024-01-07,Stasiun Meteorologi Dhoho,0.0,28.6,78.0,2.0,34,0.0,17.0,90,-7.75487,111.9469
2024-01-07,Stasiun Klimatologi Jawa Timur,6.3,25.0,84.0,1.0,51,0.0,1.0,135,-7.9008,112.5979
