tanggal,stasiun,curah_hujan,suhu,kelembapan,tekanan_udara,kecepatan_angin,arah_angin,gelombang_signifikan,arus_laut,arah_arus_laut,latitude,longitude,forecast_num_1,forecast_num_2,forecast_num_3,forecast_num_4,forecast_num_5,forecast_num_6,forecast_num_7,intensitas_hujan,intensitas_forecast_1,intensitas_forecast_2,intensitas_forecast_3,intensitas_forecast_4,intensitas_forecast_5,intensitas_forecast_6,intensitas_forecast_7
2024-01-01,Stasiun Meteorologi Juanda,3.8,29.9,83.0,1012.48,1.95339,99.0,0.2218777767857143,0.71544,78.0,-7.37235119,112.7816993,3.8,3.8,3.8,3.8,3.8,3.8,3.8,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan
2024-01-01,Stasiun Meteorologi Perak 1,0.6,29.9,78.0,1009.31,1.37082,89.0,0.2218777767857143,0.55643,79.0,-7.223150593,112.7240614,0.6,0.6,0.6,0.6,0.6,0.6,0.6,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan
2024-01-01,Stasiun Meteorologi Maritim Tanjung Perak,0.2,30.2,77.0,1013.24,1.40119,87.0,0.2218777767857143,0.55643,79.0,-7.204320905,112.7351022,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan
2024-01-01,Stasiun Meteorologi Trunojoyo,13.947431043807462,27.3,91.0,1017.62,5.0,98.0,0.00519,2.0,123.0,-7.03976,113.914,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan
2024-01-01,Stasiun Meteorologi Tuban,13.947431043807462,30.1,76.0,1008.83,2.0,101.0,0.0365,1.0,45.0,-6.8229,111.99177,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan
2024-01-01,Stasiun Meteorologi Banyuwangi,13.947431043807462,29.1,78.0,1008.83,2.0,192.0,0.09634,4.0,184.0,-8.214848016,114.3553195,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan
2024-01-01,Stasiun Geofisika Pasuruan,1.8,25.2,84.0,1017.9,1.0,132.0,0.00026,1.0,92.0,-7.639341409,112.6882624,1.8,1.8,1.8,1.8,1.8,1.8,1.8,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan
2024-01-01,Stasiun Meteorologi Dhoho,13.947431043807462,27.50864055299539,77.54426774270117,1013.84,1.0,268.0,0.2218777767857143,5.0,83.0,-7.75487,111.9469,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan
2024-01-01,Stasiun Klimatologi Jawa Timur,8.6,27.1,78.0,1007.65,1.0,181.0,0.2218777767857143,1.0,92.0,-7.9008,112.5979,8.6,8.6,8.6,8.6,8.6,8.6,8.6,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan
2024-01-01,Stasiun Geofisika Malang,0.1,29.9,73.0,1012.71,2.0,136.0,0.2218777767857143,3.0,72.0,-8.15,112.45,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan,Tidak Hujan
2024-01-01,Stasiun Geofisika Nganjuk,13.947431043807462,25.8,86.0,1007.68,1.0,276.0,0.2218777767857143,2.0,246.0,-7.73486,111.76682,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan
2024-01-01,Stasiun Meteorologi Sangkapura,13.947431043807462,29.2,83.0,1007.67,1.0,150.0,0.04406,8.0,102.0,-5.8511,112.6578,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,13.947431043807462,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan,Ringan
2024-01-02,Stasiun Meteorologi Juanda,21.2,30.6,78.0,1011.21,2.41817,83.0,0.2218777767857143,3.46412,160.0,-7.37235119,112.7816993,21.2,21.2,21.2,21.2,21.2,21.2,21.2,Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Sedang
